symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MCD,2016-05-27 00:00:00+00:00,123.25,124.68,123.115,124.27,3222780,108.4419712717,109.7001620946,108.3231910192,109.3394220684,3222780,0.0,1.0
MCD,2016-05-31 00:00:00+00:00,122.06,123.41,121.62,123.3,7995028,107.3949453422,108.5827478673,107.0078097044,108.4859639578,7995028,0.0,1.0
MCD,2016-06-01 00:00:00+00:00,121.97,122.735,121.5,121.6,5057035,107.3157585072,107.9888466047,106.9022272577,106.9902126299,5057035,0.0,1.0
MCD,2016-06-02 00:00:00+00:00,121.17,121.51,120.55,120.7,4740240,107.3949453422,107.6962928821,106.8454292399,106.978376684,4740240,0.89,1.0
MCD,2016-06-03 00:00:00+00:00,121.35,121.67,120.34,121.09,4643011,107.5544822751,107.8381034892,106.6593028182,107.3240400387,4643011,0.0,1.0
MCD,2016-06-06 00:00:00+00:00,122.0,122.17,121.205,121.79,4901956,108.1305878662,108.2812616362,107.4259664125,107.9444614445,4901956,0.0,1.0
MCD,2016-06-07 00:00:00+00:00,121.9,123.38,121.9,122.34,4562104,108.0419562368,109.3537043519,108.0419562368,108.4319354062,4562104,0.0,1.0
MCD,2016-06-08 00:00:00+00:00,122.11,122.49,120.8854,121.98,3925901,108.2280826585,108.5648828503,107.1426997249,108.1128615403,3925901,0.0,1.0
MCD,2016-06-09 00:00:00+00:00,122.79,123.09,122.07,122.07,4583522,108.8307777384,109.0966726266,108.1926300068,108.1926300068,4583522,0.0,1.0
MCD,2016-06-10 00:00:00+00:00,122.36,122.66,121.61,121.8,4347385,108.449661732,108.7155566202,107.7849245115,107.9533246074,4347385,0.0,1.0
MCD,2016-06-13 00:00:00+00:00,122.99,123.965,121.85,121.95,5436706,109.0080409972,109.8721993839,107.9976404221,108.0862720515,5436706,0.0,1.0
MCD,2016-06-14 00:00:00+00:00,122.51,123.19,121.93,122.54,6351355,108.5826091761,109.185304256,108.0685457256,108.609198665,6351355,0.0,1.0
MCD,2016-06-15 00:00:00+00:00,122.25,123.32,122.13,123.15,4168099,108.3521669397,109.3005253743,108.2458089844,109.1498516043,4168099,0.0,1.0
MCD,2016-06-16 00:00:00+00:00,122.47,122.63,120.95,121.84,3931956,108.5471565244,108.6889671314,107.1999557575,107.9887772592,3931956,0.0,1.0
MCD,2016-06-17 00:00:00+00:00,122.27,122.71,121.42,122.23,8331396,108.3698932656,108.7598724349,107.6165244157,108.3344406138,8331396,0.0,1.0
MCD,2016-06-20 00:00:00+00:00,123.42,124.08,123.2742,123.32,5951035,109.3891570037,109.9741257577,109.259932088,109.3005253743,5951035,0.0,1.0
MCD,2016-06-21 00:00:00+00:00,122.63,124.0,122.31,123.92,4749655,108.6889671314,109.9032204542,108.4053459173,109.8323151507,4749655,0.0,1.0
MCD,2016-06-22 00:00:00+00:00,120.62,121.45,120.05,121.31,6578655,106.9074713805,107.6431139045,106.4022710929,107.5190296233,6578655,0.0,1.0
MCD,2016-06-23 00:00:00+00:00,121.21,121.75,120.64,121.48,3832286,107.430397994,107.9090087927,106.9251977064,107.6697033933,3832286,0.0,1.0
MCD,2016-06-24 00:00:00+00:00,119.44,121.11,118.2901,118.76,6985470,105.8616181536,107.3417663646,104.8424430471,105.2589230737,6985470,0.0,1.0
MCD,2016-06-27 00:00:00+00:00,116.3,118.16,116.08,118.16,14159800,103.0785849905,104.7271332973,102.8835954058,104.7271332973,14159800,0.0,1.0
MCD,2016-06-28 00:00:00+00:00,118.5,118.64,116.83,117.2,6172876,105.0284808373,105.1525651184,103.5483326263,103.8762696551,6172876,0.0,1.0
MCD,2016-06-29 00:00:00+00:00,119.49,119.96,119.0,119.16,5020404,105.9059339683,106.3225026265,105.4716389842,105.6134495913,5020404,0.0,1.0
MCD,2016-06-30 00:00:00+00:00,120.34,120.45,119.3,119.68,4808068,106.6593028182,106.7567976105,105.7375338724,106.0743340642,4808068,0.0,1.0
